1,borowice na stoku,411.511570215225
2,przesieka zloty widok,386.806339025497
3,schronisko odrodzenie,1689.57400321960
4,slonecznik,1838.09077739716
5,pielgrzymy,1531.29160404205
6,polana karkonosze,518.756866455078
7,bialy jar,436.091691255569
8,wilcza poreba,432.133466005325
9,szeroki most,439.006805419922
10,budniki,454.497873783112
11,jedlinki,399.508744478226
12,przelecz okraj,478.819102048874
13,skalny stol,1777.42516994476
14,sowia przelecz,1358.71100425720
15,sniezka,1912.33980655670
16,przelecz pod sniezka,1823.18592071533
17,spalona straznica,1843.70470046997
18,samotnia,1684.56006050110
19,strzecha akademicka,1684.56006050110
20,kopa,1816.44594669342
21,karpacz,356.194168329239
22,nad lomniczka,474.014520645142
23,bialy jar,1751.90258026123
24,zarzecze,414.276421070099
25,karpacz dolny,386.765986680985
26,karpacz gorny,442.309617996216
27,sosnowka,435.077011585236
28,grabowiec,428.756326436996
